ID_simple,treatment,Sex,MeanEggArea,Species,LifeStage
196,control,F,NA,Manila clam,Adult
199,control,F,3687,Manila clam,Adult
211,control,F,3519,Manila clam,Adult
310,control,F,3795,Manila clam,Adult
341,control,F,3837,Manila clam,Adult
363,control,F,3749,Manila clam,Adult
367,control,F,NA,Manila clam,Adult
376,control,F,3834,Manila clam,Adult
460,control,F,3759,Manila clam,Adult
485,control,F,NA,Manila clam,Adult
24,treatment,F,3782,Manila clam,Adult
26,treatment,F,NA,Manila clam,Adult
30,treatment,F,3869,Manila clam,Adult
33,treatment,F,3623,Manila clam,Adult
34,treatment,F,NA,Manila clam,Adult
35,treatment,F,NA,Manila clam,Adult
88,treatment,F,3566,Manila clam,Adult
501,treatment,F,NA,Manila clam,Adult
71,treatment,F,NA,Manila clam,Adult
260,treatment,F,NA,Manila clam,Adult